Month,Record,Robberies
1966-01,1,41
1966-02,2,39
1966-03,3,50
1966-04,4,40
1966-05,5,43
1966-06,6,38
1966-07,7,44
1966-08,8,35
1966-09,9,39
1966-10,10,35
1966-11,11,29
1966-12,12,49
1967-01,13,50
1967-02,14,59
1967-03,15,63
1967-04,16,32
1967-05,17,39
1967-06,18,47
1967-07,19,53
1967-08,20,60
1967-09,21,57
1967-10,22,52
1967-11,23,70
1967-12,24,90
1968-01,25,74
1968-02,26,62
1968-03,27,55
1968-04,28,84
1968-05,29,94
1968-06,30,70
1968-07,31,108
1968-08,32,139
1968-09,33,120
1968-10,34,97
1968-11,35,126
1968-12,36,149
1969-01,37,158
1969-02,38,124
1969-03,39,140
1969-04,40,109
1969-05,41,114
1969-06,42,77
1969-07,43,120
1969-08,44,133
1969-09,45,110
1969-10,46,92
1969-11,47,97
1969-12,48,78
1970-01,49,99
1970-02,50,107
1970-03,51,112
1970-04,52,90
1970-05,53,98
1970-06,54,125
1970-07,55,155
1970-08,56,190
1970-09,57,236
1970-10,58,189
1970-11,59,174
1970-12,60,178
1971-01,61,136
1971-02,62,161
1971-03,63,171
1971-04,64,149
1971-05,65,184
1971-06,66,155
1971-07,67,276
1971-08,68,224
1971-09,69,213
1971-10,70,279
1971-11,71,268
1971-12,72,287
1972-01,73,238
1972-02,74,213
1972-03,75,257
1972-04,76,293
1972-05,77,212
1972-06,78,246
1972-07,79,353
1972-08,80,339
1972-09,81,308
1972-10,82,247
1972-11,83,257
1972-12,84,322
1973-01,85,298
1973-02,86,273
1973-03,87,312
1973-04,88,249
1973-05,89,286
1973-06,90,279
1973-07,91,309
1973-08,92,401
1973-09,93,309
1973-10,94,328
1973-11,95,353
1973-12,96,354
1974-01,97,327
1974-02,98,324
1974-03,99,285
1974-04,100,243
1974-05,101,241
1974-06,102,287
1974-07,103,355
1974-08,104,460
1974-09,105,364
1974-10,106,487
1974-11,107,452
1974-12,108,391
1975-01,109,500
1975-02,110,451
1975-03,111,375
1975-04,112,372
1975-05,113,302
1975-06,114,316
1975-07,115,398
1975-08,116,394
1975-09,117,431
1975-10,118,431